1	2	3	4	5	location
-92	-86	-68	-66		north
-94	-86	-70	-66		north
-88	-82	-70	-68		north
-88	-84	-68	-68		north
-94	-88	-70	-68		north
-90	-82	-68	-66		north
-92	-82	-70	-68		north
-92	-82	-68	-68		north
-92	-86	-70	-66		north
			-66		north
-92	-82	-70	-68		north
-92	-86	-70	-68		north
-92		-70	-68		north
	-86	-70	-68		north
-92	-82	-70	-68		north
-88	-82	-70	-68		north
-92	-84	-70	-66		north
-92		-70	-68		north
-94	-84	-68	-68		north
-88	-84	-70	-66		north
-92	-84	-70	-68		north
-88	-88	-70	-66		north
-92	-88	-68	-68		north
-88	-86	-72	-68		north
-92	-86		-68		north
-94	-84		-68		north
-94	-84	-70	-66		north
-94	-84	-68	-68	-96	north
-86	-88	-70	-68		north
-88	-86	-68	-68		north
-94	-88	-70	-66		north
-94	-86	-70	-68	-94	north
-88	-94	-68	-66		north
-90	-94	-68	-66		north
-90	-90	-68	-66		north
-94	-88	-72	-68		north
-96	-90	-68	-68		north
-88	-92	-70	-68		north
	-88	-72	-66		north
-92	-90	-70	-68	-96	north
-88	-86	-70	-68		north
-88	-88	-68			north
-94	-86	-70	-68		north
-92	-92	-68	-68		north
-88	-88	-70	-66		north
-94	-90	-68	-68		north
-88	-92	-68	-66		north
-92	-88	-70	-66		north
-92	-88	-68	-66	-96	north
-88	-86	-70	-66	-94	north
-92	-88	-68	-68		north
-86		-70	-68	-94	north
-92	-90	-70	-68		north
-92	-88	-70	-66	-94	north
-88	-86	-70	-68		north
-92	-88	-70	-68		north
-86	-86	-70	-68		north
	-90		-68		north
-90	-94	-68	-68		north
-88	-88	-68	-68		north
	-86	-70	-66	-96	north
-96	-88	-70	-66		north
-96	-88	-68	-68	-94	north
-94	-90	-70	-68		north
	-88	-70	-68	-96	north
	-90	-68	-68		north
-90	-92	-68	-66	-90	north
		-70	-68		north
-88		-70	-68		north
-94	-92	-70	-68		north
-94	-90	-70	-68		north
-86	-86	-70	-66		north
-94	-88	-70	-68		north
-94		-70	-68		north
-96	-84	-70	-68		north
-90	-90	-72	-68	-96	north
-92	-94	-70	-68		north
-92	-90	-68	-68		north
-90	-92	-70	-66		north
	-84	-68	-66		north
	-84	-70	-66		north
	-86		-66		north
-94	-86	-68	-66		north
-90	-88	-70	-68		north
-92	-86	-68	-66		north
-88	-86	-68			north
-94	-92	-70	-68		north
-92	-86	-70	-68		north
-92	-86	-70	-68		north
-86	-84	-70	-68	-94	north
-92	-90	-68	-68		north
-92	-86	-68	-68		north
-88	-88	-70	-68	-92	north
-94	-88	-68	-68		north
-94	-88	-70	-66		north
-90	-92	-70	-68		north
-92		-68	-68		north
-92	-86	-70	-68		north
	-88	-70	-66	-92	north
-94	-92	-68	-66		north
-88	-92	-68	-68		north
-88	-88	-68	-68		north
-94	-90	-68	-66	-90	north
-88	-88	-70	-66		north
-94	-90	-70	-68		north
-86	-92	-70	-68	-94	north
-88	-88	-70	-68		north
-88	-88	-70	-68		north
-92	-90	-68	-68		north
-90	-90	-68	-68		north
-96	-90	-70	-68	-94	north
-88	-90	-70	-68		north
-88	-90	-72			north
-92		-68	-66		north
-94	-90	-70	-68		north
	-90	-70	-66		north
-88	-88	-68	-68		north
-94	-88		-68		north
-94	-86	-70	-68	-94	north
-92	-88	-70	-68	-96	north
-92	-90	-70	-68		north
-94	-90	-70	-68		north
-92		-70	-68		north
-96	-90	-70	-68		north
-92	-90	-68	-66		north
-94	-90	-70	-68		north
-92	-90	-70	-68		north
-92	-88	-70	-68	-94	north
-92	-90	-70	-66		north
-92	-88	-70	-68		north
-94	-92	-70	-66		north
-86	-92	-70	-66		north
-90	-88	-70	-68		north
-94	-86	-70	-68	-94	north
-94	-88	-70	-68		north
-88	-90	-70	-68		north
-94	-90	-70	-68		north
-94	-90	-70	-66		north
-88	-86	-68	-66		north
-94	-88	-70	-66	-94	north
-92	-88	-70	-68	-94	north
-92	-88	-70	-68		north
-92	-88	-70	-68		north
-88	-88	-70	-68		north
-96	-88	-70	-66		north
-94	-88	-70	-68	-96	north
-92	-88	-70	-66		north
-86	-88	-70	-66		north
-94	-88	-70	-68		north
-88	-86		-68		north
-94	-90	-68	-68		north
-94	-88	-70	-68	-92	north
		-70	-68	-96	north
-92	-88	-70	-68		north
	-90	-70	-68		north
-94	-88	-70	-68		north
-94	-88	-70	-66		north
-92	-90	-70	-66		north
-94	-90	-70	-68	-92	north
-88	-88	-70	-66		north
-88	-90	-70	-68		north
-90	-86	-70	-68		north
-94	-90	-70	-66	-90	north
-88	-88	-70	-66		north
		-70	-68	-94	north
-94	-88	-68	-68		north
-94	-86		-66	-94	north
	-86	-70	-68	-94	north
-88		-68	-68		north
-94	-90	-70	-68	-92	north
-92	-90	-68	-68		north
-90	-90	-70	-68	-94	north
-94		-70	-68		north
-94	-86	-68	-66	-94	north
-94	-86	-70	-66	-94	north
-92		-70	-68	-92	north
-90	-90	-70	-68		north
-92	-92	-70	-66		north
-92	-86	-68	-66		north
-88	-90	-70	-68		north
-94	-90	-70	-68		north
-88	-90	-70	-68		north
-94	-90	-70	-68	-96	north
-92	-92	-68	-68		north
-88	-88	-70	-68		north
-90	-90	-68	-68		north
-88	-88	-70	-68		north
-94	-90	-68	-68		north
-92	-90	-70	-68	-92	north
-92	-88	-70	-68		north
-94	-86	-68	-66	-90	north
-92	-88	-70	-66		north
-92	-88	-68	-66		north
-92	-90	-68	-66		north
-90	-92	-70	-68		north
-88	-84	-70	-68		north
-92	-84	-70	-66		north
-94	-84	-68	-68		north
-92	-88	-70	-68		north
-90	-82	-70	-68		north
-92	-86	-70	-66		north
-92	-84	-68	-66		north
-88		-70	-68		north
-92	-88		-68		north
-90	-86	-68	-68		north
-92	-88	-70	-66	-96	north
-92		-70	-68		north
-92	-86	-70	-68		north
-92	-86	-70	-66		north
-92	-84	-68	-68		north
-92	-86	-70	-66		north
-92	-82	-70	-66		north
-92		-70	-66		north
-88	-80	-68	-68		north
-92	-86	-70	-66		north
-88		-70	-68		north
-92	-86	-68	-68		north
-88	-84	-70	-68		north
-92	-88		-68		north
-90	-84	-70	-66		north
-88	-84	-70	-66		north
-92	-84	-70	-66		north
-94	-86	-68	-68		north
-92	-84	-70	-68		north
-92	-86	-70	-68		north
-92	-84	-68	-66		north
-86	-82	-70	-68		north
-92	-84	-70	-66		north
-88	-86	-68	-68		north
-92	-88	-72	-66		north
-92	-86	-70	-68		north
-90	-88	-68	-66		north
	-86	-70	-68		north
	-86		-68		north
-92	-84		-66		north
-92	-86	-70	-68		north
-92	-88	-70	-68		north
-92	-90	-70	-68	-92	north
-90		-70	-68		north
	-90	-70	-68		north
-92	-90	-70	-66		north
-92	-84	-72	-66		north
-96	-90	-68	-66		north
-92	-86	-70	-66		north
-92		-70	-68		north
-92	-88	-70	-68		north
-90	-90	-70	-68		north
-90	-90	-68			north
-94	-84	-70	-68		north
-94	-86	-70	-68		north
-92	-88	-70	-66		north
-88	-90	-68	-66	-92	north
-88	-86	-70	-68	-94	north
-94	-86	-68	-68		north
	-84	-70	-68		north
-92	-88	-70	-68		north
-88	-86	-70	-66		north
-90	-90	-68	-66		north
	-90	-68	-66	-96	north
-88	-90		-68		north
	-88	-70	-68	-90	north
-96	-94	-68	-68		north
-88	-92	-68	-68		north
-92	-88	-72	-66	-92	north
-88	-90	-70	-66		north
-88	-88	-70	-68		north
-90	-88	-70	-68	-92	north
-90	-92	-68	-66		north
-88	-88	-70	-68		north
-92	-88	-70	-68		north
-94	-90	-70	-68		north
-94	-88	-70	-68	-94	north
-92	-92	-70	-66		north
-92	-88	-68	-68	-94	north
-88	-90	-70	-66		north
-88	-86	-68	-68	-90	north
-94	-90	-70	-68		north
-88	-92		-68	-92	north
-96	-88	-70	-68		north
-92	-86	-70	-66	-92	north
-94	-88	-68	-66	-92	north
-88	-90	-70	-68	-92	north
	-88	-68	-68		north
-90	-88	-68	-68	-92	north
-94	-88	-68	-68	-90	north
-96	-88	-70	-68		north
	-88	-68	-68		north
-94	-86	-70	-68	-90	north
-94	-90	-70	-68	-92	north
-96	-86	-70	-68		north
-96	-90	-70	-68		north
-94		-70	-68		north
	-90	-68	-68		north
-94	-88	-70	-68	-90	north
	-88	-70	-68		north
-90	-88	-70	-68		north
-94	-90	-70	-66	-92	north
-94	-86	-68	-68	-92	north
-94	-88		-66		north
-90	-86	-68	-66		north
-94		-68	-66		north
-94	-90	-70	-68		north
-88	-92	-66	-68		north
-88	-90	-70	-66	-92	north
-88	-90	-68	-68	-94	north
	-86	-70	-68		north
-94	-92		-66		north
-94	-92	-72	-68		north
-94	-88	-70	-68		north
-88	-92	-70	-66		north
	-86	-70	-68		north
-94	-88	-72	-68		north
-96	-90	-70	-68		north
-92	-88	-72	-66	-94	north
-94	-88	-72	-68		north
-92	-88	-70	-68	-96	north
-88	-88	-72	-68		north
-94	-86	-68	-68		north
-92	-90	-70	-68	-96	north
-90	-84	-72	-66		north
-92	-84	-68	-66		north
-92	-86	-72	-68	-92	north
-92	-86	-72	-68	-90	north
	-84	-70	-68		north
-92	-88		-66		north
	-84	-68	-66		north
-88	-94	-66	-66		north
-94	-90	-68	-66		north
-92	-88	-68	-68		north
-92	-88	-68	-66		north
-88	-88	-68	-66		north
-92	-88	-74	-68		north
-94	-88	-68	-68		north
-92	-90	-68	-68		north
-94	-88		-68		north
-88	-88	-70	-68		north
-94	-90	-70	-68		north
-94	-86	-72	-68		north
-88	-86	-70	-68		north
-94		-72	-66		north
-92	-90	-70	-68	-92	north
-88	-88	-68	-68		north
-86	-88	-72	-66		north
-92	-90	-70	-68		north
-94	-90	-72	-66		north
-88	-90	-70	-66		north
-92	-88	-68	-68		north
-88	-88	-70	-68		north
-88	-88	-68	-66		north
	-88	-68	-66		north
-94	-90	-70	-68		north
-94	-90	-70	-68		north
-94	-90	-68	-66		north
-92	-88		-66		north
-92	-90	-68	-66		north
-96	-90	-72	-68		north
-92	-90	-68	-66		north
	-92	-70	-66		north
-94	-90	-70	-66		north
	-88	-68	-68		north
-88	-90	-70	-68		north
-94	-88	-70	-68		north
-96	-90	-70	-66		north
-92	-90	-72	-66		north
-88	-88	-68	-66		north
-94	-90	-68	-66		north
	-88	-70	-68		north
-94	-90	-68	-68		north
-94	-90	-70	-68		north
-88	-86	-68	-68		north
-94	-88	-72	-68		north
-94	-90	-70	-68	-94	north
-94	-90	-68	-68		north
-94	-88	-70	-68	-94	north
-94	-90	-70	-66		north
-94	-90	-68	-68		north
-88	-92	-72	-68		north
	-90	-70	-66	-94	north
-88	-86	-68	-64		north
-92	-88		-66	-96	north
-94	-88	-70	-68		north
-94	-88	-70	-68		north
-94	-88	-72	-66		north
-92	-90	-70	-68	-96	north
-86	-90	-68	-68		north
-88		-72	-66		north
-94	-90	-70	-66		north
-94	-90	-68	-68		north
-94	-88	-70			north
-94	-92	-70	-66	-96	north
-88	-92	-68	-66		north
-94	-88	-72	-66		north
	-90	-70	-66	-96	north
-86	-90	-68	-68		north
-88	-88	-70	-68		north
-88	-88	-68	-66		north
-90		-70	-68	-94	north
	-90	-70	-68		north
-94	-90		-64		north
-94	-88	-70	-68		north
-94	-86	-68	-68		north
-94		-68	-68		north
-94	-90	-72	-68		north
-94	-88	-70	-68		north
-92	-92	-68	-68		north
-88	-88	-72	-68		north
-94	-86	-70	-66		north
	-86	-72	-68		north
-94	-86	-72	-68		north
-94	-88	-68	-68		north
-92	-90	-72	-68		north
-88	-88	-72	-68		north
-86	-90	-68	-68		north
-86	-92	-68	-68		north
-88	-86	-72	-68		north
-88	-90	-68	-68		north
-92	-92	-70	-66	-96	north
-92	-90	-68	-66		north
-92	-90	-70	-68		north
-94	-90	-68	-66		north
-88	-88	-72	-68		north
-94	-90	-68	-68		north
-88	-90	-72	-68		north
-94	-90	-68	-68		north
-92	-90	-72		-96	north
-94	-88	-68	-66		north
-90	-90	-72	-68		north
-94	-90	-70	-68		north
-94	-86	-68	-66		north
-94	-90	-72	-66		north
-88	-90	-70	-66		north
-94	-94	-68	-68		north
-94	-86	-72	-68		north
-88	-90	-70	-68		north
-94	-90	-72	-68		north
-88	-90		-66	-94	north
-94	-90	-68	-68		north
-90	-90	-72	-66		north
-92	-90	-68	-66		north
-92	-88	-72	-68		north
-94		-68	-68	-94	north
	-86		-68		north
-88	-90	-68	-66		north
-94	-88		-68		north
-94	-88	-70	-66	-94	north
-92	-90		-68		north
-94	-90	-70	-66		north
-88	-90	-72	-66		north
-94	-90	-68	-68	-94	north
-96	-88		-66		north
-94	-86	-70	-68		north
-92	-92	-68	-68		north
-94	-90	-70	-66	-94	north
-92	-90	-70	-68	-94	north
-88	-90	-70	-68		north
-92	-88	-70	-68		north
	-90	-70	-68		north
-92	-92	-70	-68		north
-94	-90	-70	-66		north
	-90	-68	-68		north
-96	-90		-68		north
-94	-88	-68	-68		north
-88	-90	-68	-68		north
	-88	-70	-66		north
-88	-88		-68		north
-94	-90	-72	-68		north
	-88	-72	-66		north
-88	-88	-68	-66		north
	-88	-68	-68		north
-90	-86	-72	-68		north
-94	-86	-70	-66		north
-88	-90	-72	-66		north
-88	-88		-66		north
-94	-92		-68		north
-88	-90	-68	-66		north
-92	-86	-72	-66		north
-96	-90		-68		north
-94	-90		-66		north
-94	-90	-70	-68		north
-94	-90		-68		north
-94	-88	-68	-68		north
-88	-88	-68	-68		north
-92	-88	-70	-68		north
-88	-88	-68			north
-96	-88		-68		north
-94	-88				north
-88	-90	-70	-68		north
-96	-88		-68		north
-88	-86	-70	-68		north
-92	-88	-68	-66		north
-94	-88	-70	-66		north
-88	-90	-70	-68		north
-88	-90	-68	-68		north
-88	-90		-64		north
-94	-90	-70	-64		north
-94	-92		-68		north
-94	-90	-72	-64		north
-94	-88	-68	-68		north
-88	-92		-66		north
-92		-70	-68		north
-92	-88	-72	-68	-96	north
-94	-90	-68	-68		north
-88	-90	-72	-68		north
-92	-88	-68	-64		north
-88	-88	-72	-68		north
	-90	-70	-68		north
-94	-90	-68	-64		north
-86	-88	-70	-64	-96	north
	-88		-64		north
-88	-90	-70	-68		north
	-92		-66		north
-94	-92	-68	-68		north
-94	-88	-70	-68		north
-94	-88	-68	-68		north
-88	-90	-70	-68		north
-88	-90	-68	-68	-90	north
-88	-92	-68	-66	-90	north
-92	-88	-68	-66		north
-88	-88	-68	-68		north
-96	-86	-70	-66		north
-86	-90	-68	-68		north
-88	-92	-70	-68		north
-94	-90	-70	-68	-94	north
-94	-88	-68	-68		north
-86	-88	-70	-68		north
-88	-88	-70	-64		north
-94	-90	-70	-64		north
-94	-90	-68	-68	-94	north
	-92	-68	-64		north
-94	-90		-66		north
-92	-88	-68	-68		north
		-72	-66		north
-94	-86	-70			north
	-90	-68			north
-92	-94	-70	-68		north
-92	-90	-72	-66	-92	north
-88	-86	-70	-68		north
-92	-88	-68	-66		north
-94	-90	-72	-68		north
-94	-88	-68	-66		north
-94	-90		-68		north
-88		-68	-66		north
-94	-90	-68	-66	-94	north
-88	-88	-68	-68	-96	north
-94	-88		-68		north
-92	-86	-68	-66		north
-92	-90	-68	-68		north
-94	-88		-68	-92	north
-94	-88	-68	-68		north
-86	-90	-70	-68		north
-94	-90		-68		north
-94	-88	-68	-66		north
-92	-90	-68	-68		north
-94	-88	-68	-68		north
-94	-90	-68	-68		north
-94	-90	-68	-66		north
-88	-88	-68	-68	-96	north
-94	-86	-68	-68		north
-92	-92	-68	-68	-96	north
-92	-86	-70	-68		north
-92	-92				north
-88	-90	-68	-66		north
-96	-86		-66		north
	-90	-68	-66		north
	-88		-68		north
-92			-66		north
-96	-90	-68	-66		north
	-90	-68	-68		north
-94	-86	-68	-68		north
-92	-88	-68	-68		north
-88	-88	-72	-66	-96	north
-88	-90	-68	-66		north
-92	-90	-70	-66		north
-92	-90	-66	-68		north
-94	-88	-72	-68		north
-94	-88		-68		north
-88	-88	-66	-64		north
	-92		-66		north
-88		-68	-66		north
	-88	-68	-66		north
-88	-90	-68	-68		north
-96	-90	-68	-66		north
-94	-92	-70	-68		north
-92	-92	-68	-68		north
-94	-92	-70	-68		north
-88	-90	-68	-68	-92	north
-88	-90	-68	-68		north
-88	-88	-68	-64		north
-92	-92	-70	-68		north
-94	-92	-70	-66		north
-92	-94	-68	-68	-94	north
-92	-92	-68	-68		north
-94	-92	-68	-68		north
-94	-90	-70	-68		north
-94	-90	-68	-64		north
-94		-68	-68		north
-94	-90	-68	-68	-92	north
-86	-96	-70	-66		north
-88	-88	-74	-68		north
-94	-90	-68	-64	-94	north
-92		-66	-68		north
-88	-92	-70	-66		north
	-94	-68	-66		north
-88		-72	-68		north
-94	-92	-68	-66		north
-88	-88	-68	-68		north
-94		-70	-68		north
-92	-92	-72	-68	-96	north
-94	-92		-66		north
-94	-92	-68	-66		north
	-90	-72	-68	-90	north
-90	-94	-68	-66		north
	-88	-72	-68		north
-88	-96	-68	-64		north
-94		-68	-68		north
-94	-90	-68	-66		north
-92	-92	-68	-68	-96	north
-88	-96				north
-94	-88	-68	-68		north
-94	-88	-72	-68		north
-88	-88		-66		north
	-90	-68	-66		north
-88	-92	-72	-66		north
-92	-86	-72	-68	-92	north
-88		-68	-66	-96	north
-94	-86	-72	-66	-92	north
-90	-92	-70	-68		north
-94	-88	-68	-68		north
-94	-84	-72	-68	-96	north
-94	-86	-68	-66		north
	-90	-68	-68	-94	north
-92	-86	-66	-66	-92	north
-88	-86	-70	-66		north
-88	-86	-70	-68		north
-92	-88	-66	-66	-90	north
-92	-90	-70	-66	-94	north
-94	-86	-70	-66		north
-86	-86	-70	-68		north
-94		-72	-68		north
	-92	-70	-66		north
-92	-84	-72	-68		north
-88			-66		north
-92	-86	-72	-66		north
-94	-86	-72			north
-92	-86	-70	-66	-92	north
-88	-88		-66	-92	north
	-86	-70	-66		north
-94	-86	-70	-68		north
-92	-86	-72	-66		north
	-86	-70	-66		north
	-86	-68	-68	-96	north
-88	-84	-72	-66		north
	-90	-70	-68		north
-88		-66	-68		north
-92	-88	-68	-68		north
-92	-86	-66	-66		north
-92	-88	-70	-68		north
-96	-88	-68	-68		north
-90	-92	-70	-66		north
-86	-88	-68	-68		north
-86	-90	-66	-66		north
-92	-88	-70	-66	-94	north
	-86	-68	-68		north
-94	-88	-66	-66		north
-88	-88	-70	-68		north
-94	-88	-66	-68		north
	-88	-68	-68		north
	-88	-68	-66		north
-96	-88	-68			north
-88	-88	-68	-66		north
-94	-90	-66	-68		north
-92	-90	-70	-68		north
-94	-88	-70	-66		north
	-90	-70	-68	-94	north
-88	-90	-66	-68		north
-88	-90	-70	-64		north
-94		-70	-64		north
-94		-68	-68		north
-90	-90	-72	-64		north
-86		-68	-66	-94	north
-92	-90	-72	-68		north
-96	-88	-70	-68		north
-92	-88	-66	-66	-94	north
-96	-92	-72	-66	-96	north
-88	-88	-70	-68		north
-94	-90	-68	-68	-94	north
-94		-70	-68		north
-92	-90	-70	-68		north
-94	-92	-66	-64		north
	-90	-68	-68		north
-94	-88	-70	-68	-96	north
-92	-88	-68	-68		north
	-92	-70	-64		north
-94	-90	-70	-66		north
-88	-88	-68	-68		north
-94	-90	-70	-66		north
		-68	-68	-96	north
-88	-90	-68	-66	-90	north
-94	-90	-68	-68		north
-94	-86	-70	-64		north
-88	-90	-68	-66		north
-88	-86	-70	-68		north
-92	-88	-72	-66		north
-94	-90	-70	-68		north
-94	-88	-70	-66	-92	north
-94	-88	-70	-66		north
-88	-86	-68	-66		north
-88	-88	-68	-66		north
-86	-90	-68	-66	-92	north
-94	-92	-70	-66		north
-94	-88	-72	-66		north
-96	-86	-68	-66		north
-94	-92	-72	-66		north
-92	-92	-72	-68		north
-88	-90	-68	-70		north
-90	-88	-70	-70		north
-94	-92	-68	-68		north
-94		-68	-66		north
-94	-90	-70	-68		north
-94	-94	-68	-68		north
-96	-96	-70	-68		north
-88	-94	-68	-68		north
	-90	-70	-66		north
	-94	-70	-68		north
-94		-68	-64		north
	-86	-68	-68		north
-88	-92	-70	-68		north
-94		-66	-68		north
-94	-92	-72	-64		north
-88	-90	-70	-68		north
-88		-68	-66		north
-94	-90	-70	-66		north
-94	-92	-68	-68		north
-90	-92	-72	-68		north
-96	-90	-68	-68		north
-88		-72	-68		north
-90	-92	-70	-68		north
-88	-88	-68	-66		north
-88	-88	-68	-66		north
-88		-72	-66		north
-94		-70	-68	-96	north
-94	-92	-72	-68		north
-94		-70	-68	-94	north
-94	-92	-72	-68		north
	-90	-68	-68		north
-92		-68	-64		north
	-92	-68	-68	-96	north
-90	-88	-70	-66		north
-88	-88	-68	-64		north
-94	-90	-70	-68		north
-88	-86	-70	-64		north
-88	-90	-68	-68	-92	north
-94		-72	-64		north
-94	-88	-70	-66		north
-94	-90	-68	-68		north
-94	-88	-72	-68		north
-94	-90	-70	-66		north
-88	-90	-68	-64		north
-94	-90	-72	-68		north
-88	-94	-70	-68		north
-88	-90	-72	-68		north
-88	-92	-68	-68		north
-92	-90	-70	-68		north
-94	-86	-72	-68	-92	north
-94	-94	-68	-66		north
-88		-70	-66		north
-90	-88		-68		north
-94	-90	-70	-66		north
-94	-90	-68	-64		north
-88	-92	-68	-68	-90	north
-96	-92	-74	-68	-92	north
-92	-90	-68	-66		north
-90	-88	-72	-64		north
-88		-68	-64		north
-94	-92	-70	-64		north
-90	-90	-72	-68		north
-90	-90	-72	-68		north
-88	-88	-72	-68		north
-92	-88	-72	-68		north
-94	-86	-68	-68	-92	north
-94	-92	-68	-64		north
-94	-88	-72	-64	-92	north
-92	-88	-70	-64		north
	-88	-68	-68		north
	-94		-64		north
-90	-92	-68	-68		north
-88		-68	-64		north
	-92	-70	-68		north
-90	-92	-68	-64		north
-88	-90	-70	-68	-96	north
-94	-90	-70	-68		north
-92	-90		-64		north
-88	-94	-68	-64		north
-92		-72	-66		north
	-92	-70	-68		north
-88	-94	-68	-68		north
-88		-68	-66		north
-92		-70	-66		north
-92	-92	-66	-64		north
-88	-92		-68		north
-90	-94	-66	-64		north
-90		-68			north
-88		-70	-68		north
	-92	-72	-64		north
-92	-94	-70	-68		north
-88	-90	-68	-68		north
-92	-92	-72	-68		north
-94	-94	-70	-68		north
	-92	-72	-68	-90	north
	-92	-68	-68	-94	north
-88	-92	-68	-68	-96	north
-88	-92	-72	-68		north
-90		-70	-64		north
	-94	-68	-68		north
-92	-88	-74	-68		north
-92	-88	-70	-68	-92	north
-92	-90	-66	-68		north
-92	-94		-68		north
-88	-94	-70	-68		north
-94	-90	-70	-68		north
-86		-72	-66	-96	north
-94	-90	-70	-64		north
-92	-90	-70	-66		north
-88	-90		-68		north
-92	-90	-66	-68		north
	-90	-68	-68		north
-92	-90	-68	-68		north
-88	-88		-68		north
-92	-90	-70	-68		north
-92	-90	-68	-66		north
-94	-92	-70	-66	-92	north
-88	-88	-70	-64		north
-90	-90	-68	-64		north
-94		-70	-66		north
-94	-88	-68	-66		north
-88	-90	-70	-66		north
-88	-90	-68	-66		north
-94	-88	-70	-68		north
-92	-90	-72	-66		north
-88	-90		-66		north
-94	-90	-68	-66		north
	-90	-72	-68		north
-94	-90	-70	-66		north
-94	-90	-68	-66	-92	north
-92	-88	-70	-64		north
-94	-90	-68	-66		north
-94	-90	-72	-66		north
-86	-90	-68	-64		north
-92	-90	-70	-68		north
-94	-90	-70	-68		north
-88	-88	-72	-68		north
-88	-88	-70	-68	-94	north
-92	-90	-68	-68		north
-92	-88	-70	-68		north
-88	-92	-68	-68		north
-92	-86	-70	-68		north
-92	-92	-68	-66		north
-88	-90		-64		north
-88	-88	-70	-68	-92	north
	-94	-70	-64		north
-88	-86	-68	-64		north
-96	-92	-70	-68		north
-88	-90	-68	-68		north
-88	-88	-70	-66		north
-88	-88	-70	-68		north
-94	-90	-68	-68		north
-88			-68		north
-92	-92	-68	-68		north
-88	-88	-70	-68		north
-94	-88	-70	-68		north
-88	-92	-68	-68		north
-88	-88	-68	-66		north
-96	-88	-68	-68		north
-92	-90	-70	-66		north
-94	-88	-70	-68		north
	-88	-68	-68		north
-88	-92	-70	-66		north
-88	-90		-68		north
-88	-88	-70	-66		north
-88			-68		north
-88	-88	-66	-66		north
-94	-88	-66	-66		north
-92	-90	-66	-66		north
	-88	-66	-66		north
-88	-92	-68	-66		north
-92	-88	-66	-66		north
-94	-88		-66		north
-86	-90	-68	-66		north
-88	-88	-70	-66	-96	north
-90	-90	-68	-66		north
-94	-90	-72	-68		north
		-70	-66		north
-88	-88	-74	-68		north
	-88	-70	-68		north
-86	-92	-68	-66		north
-94	-90	-72	-68	-92	north
-94	-92		-68		north
-88	-92	-68	-68		north
-94	-92	-72			north
-94	-88	-68	-68	-90	north
-92	-88	-68	-68		north
-88	-88	-72	-66		north
-92	-92	-70	-66		north
-94		-68	-66		north
	-88	-70	-68		north
-92	-92	-72	-66		north
-88	-88	-70	-68		north
-88	-88	-72	-66		north
-86	-88	-68	-68	-94	north
-96	-90	-68	-68		north
-94	-90	-72	-68		north
-88	-90	-70	-66		north
-94	-92	-68	-66	-92	north
	-88	-70	-66		north
-94	-90	-68	-66		north
-88	-90	-74	-66		north
-88	-88	-74	-66		north
-94	-90	-68	-68		north
-88	-88	-74	-68	-92	north
-94	-90	-68	-68		north
		-68	-66		north
-92	-92		-68		north
-88	-90	-70	-68		north
-94	-90	-68	-68		north
-94	-90	-70	-66		north
-94	-92	-68	-68		north
-88		-74	-68		north
-94	-92	-70	-68		north
-88	-92	-68	-68		north
-94	-90	-66	-64		north
-88	-90	-74	-68		north
-86	-88	-68	-68		north
-94	-90	-74	-68		north
	-92	-68	-66		north
-94		-68	-66		north
-88	-90	-74	-64	-94	north
	-90	-68	-66	-96	north
-94	-88	-68	-68	-96	north
-94	-90	-74	-68		north
-88		-68	-68		north
-92	-84		-66		north
-92	-84	-68	-64		north
-92	-88	-68	-64		north
-92	-84	-68	-64		north
-92	-88	-76	-68		north
-88	-88	-74	-64		north
-92	-86	-68	-66		north
-92	-86	-68	-64		north
-88	-84	-74	-64		north
-92	-84	-74	-64		north
-88	-86	-72	-68		north
-92	-84	-68	-66		north
-92	-88	-72	-68		north
-92	-88	-74	-64		north
-86	-88	-68	-68		north
-92	-84	-68	-64		north
-92	-88		-68		north
-92	-88	-68	-64		north
-88	-86	-66	-68		north
-94	-88	-68	-68		north
-94	-88	-68	-68		north
-92	-84	-70	-68		north
-94	-86	-68	-66	-94	north
-92	-88	-68	-66		north
-90	-86	-68	-64	-92	north
-88	-88	-68	-68		north
-88	-86	-68	-64		north
-94	-84	-68	-68		north
	-86	-74	-66		north
-94	-86	-74	-64		north
-94	-86		-64		north
-94	-88	-72	-66		north
-94	-86		-66		north
	-86	-68	-68		north
-88	-86	-74	-68		north
-96	-86	-68	-64	-96	north
-94	-86	-68	-64	-92	north
-94	-86	-68	-66		north
-88	-88	-74	-66		north
-94	-86	-68	-66		north
-92	-86	-68	-68		north
-94	-86	-72	-66		north
-88	-88	-68	-68		north
-94	-86	-68	-64		north
-94	-86	-68	-64		north
-86	-86	-68	-68		north
-90	-86	-68	-66	-94	north
-94	-86		-68		north
-94	-86	-68	-66		north
-92	-86	-70	-68		north
-88	-86	-68	-68	-92	north
-88	-86	-68	-66		north
-88	-86	-68	-68		north
-94	-86	-68	-68		north
	-88		-68		north
-88	-86	-70	-66		north
-88	-86	-68	-66		north
	-86		-66		north
-92	-88	-70	-68		north
-96	-88	-68	-66	-96	north
-88	-86	-70	-66		north
-94	-86	-66	-66		north
-88	-86	-72	-68	-94	north
-92	-88	-70	-68		north
-88		-68	-64		north
-94	-88		-66		north
-96	-90	-70	-64		north
-94	-94	-68	-68		north
-90	-88	-70	-68		north
	-90	-68	-68		north
-90	-88	-68	-68		north
	-88	-70	-68		north
-88	-90	-70	-64		north
-94	-88	-70	-68		north
-94	-88	-68	-68		north
